dir	additions	deletions	changes
src/cmd/link/internal/ld/testdata/issue25459/src/a	0	27	27
src/cmd/go/testdata/src/vetfail/p1	0	27	27
src/image/color/palette	15	12	27
src/cmd/link/internal/ld/testdata/issue25459/a	27	0	27
src/cmd/vet/testdata/src/unsafeptr	14	14	28
misc/cgo/testcshared/src/go2c2go/m1	27	1	28
test/fixedbugs/issue52279.dir	28	0	28
src/cmd/vet/testdata/src/bool	14	14	28
src/cmd/vet/testdata/src/method	3	25	28
src/cmd/vet/testdata/src/lostcancel	14	14	28
src/cmd/vet/testdata/src/atomic	14	14	28
src/cmd/vet/internal/whitelist	0	28	28
src/cmd/vet/testdata/src/deadcode	14	14	28
src/cmd/vendor/golang.org/x/xerrors/internal	19	10	29
misc/cgo/test/testdata/issue43639	27	2	29
misc/cgo/testshared/testdata/explicit	19	10	29
src/cmd/go/testdata/src/cgocover2	0	30	30
src/reflect/internal/example2	30	0	30
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/assign	27	3	30
misc/cgo/testplugin/testdata/host	15	15	30
src/cmd/go/testdata/norunexample	0	30	30
src/html/template/testdata	30	0	30
src/cmd/go/testdata/src/sleepy1	0	30	30
src/cmd/go/testdata/src/sleepy2	0	30	30
src/internal/x/text/unicode	10	20	30
src/cmd/go/testdata/src/run	0	30	30
src/reflect/internal/example1	30	0	30
src/cmd/vet/testdata/assign	31	0	31
src/cmd/go/testdata/src/testrace	0	31	31
misc/linkcheck	14	18	32
src/cmd/vendor/golang.org/x/tools/go/cfg	14	18	32
src/hash/fnv	11	22	33
src/cmd/vet/testdata/incomplete	0	33	33
src/cmd/go/testdata/src/cgocover3	0	33	33
src/cmd/go/testdata/src/cgocover4	0	33	33
src/cmd/vendor/golang.org/x/mod/sumdb/dirhash	31	2	33
src/cmd/go/testdata/src/testcycle/p1	0	33	33
misc/cgo/testplugin/testdata/method3/p	34	0	34
src/cmd/vet/testdata/src/tagtest	7	27	34
src/cmd/vet/testdata/src/rangeloop	17	17	34
test/fixedbugs/issue36085.dir	31	3	34
src/cmd/vet/testdata/src/asm	17	17	34
misc/cgo/testshared/testdata/division	17	17	34
misc/cgo/testshared/testdata/dep2	17	17	34
misc/cgo/testshared/testdata/globallib	17	17	34
