date,dir,dir
2020,src/cmd/go/testdata/local/sub/sub,1
2020,src/cmd/go/testdata/src,1
2020,src/cmd/go/testdata/src/go-cmd-test,1
2020,src/cmd/go/testdata/src/importmain/ismain,1
2020,src/cmd/go/testdata/src/multimain,1
2020,src/cmd/go/testdata/src/my.pkg/main,1
2020,src/cmd/go/testdata/src/testcache,1
2020,src/cmd/go/testdata/src/testnorun,1
2020,src/cmd/go/testdata/src/testrace,1
2020,src/cmd/go/testdata/src/vend/x/invalid,1
2019,src/vendor/golang_org/x/crypto/cryptobyte/asn1,1
2010,misc/nacl,1
2019,src/unsafe,1
2019,src/go/format,1
2019,src/cmd/go/testdata/src/not_main,1
2019,src/cmd/go/testdata/src/notest,1
2019,src/cmd/go/testdata/src/run/internal,1
2019,src/cmd/go/testdata/src/run/subdir/internal/private,1
2019,src/cmd/go/testdata/src/sleepy1,1
2019,src/cmd/go/testdata/src/sleepy2,1
2019,src/cmd/go/testdata/src/sleepybad,1
2019,src/cmd/go/testdata/src/testcycle/p2,1
2019,src/cmd/go/testdata/src/testdep/p2,1
2019,src/cmd/go/testdata/src/testdep/p3,1
2019,src/cmd/internal/xcoff/testdata,1
2019,src/cmd/link/internal/ld/testdata/httptest/src/main,1
2019,src/cmd/link/internal/ld/testdata/issue25459/src/a,1
2019,src/cmd/link/internal/ld/testdata/issue25459/src/main,1
2019,src/cmd/link/internal/ld/testdata/issue26237/src/b.dir,1
2019,src/cmd/link/internal/ld/testdata/issue26237/src/main,1
2019,src/cmd/link/internal/loadelfold,1
2019,src/cmd/vendor/golang.org/x/tools/go/analysis/cmd/vet-lite,1
2019,src/cmd/vendor/golang.org/x/tools/go/analysis/internal/unitchecker,1
2019,src/cmd/vendor/golang.org/x/tools/go/ast/astutil,1
2019,src/cmd/vet/internal/whitelist,1
2019,src/cmd/vet/testdata/incomplete,1
2019,src/cmd/vet/testdata/src/print,1
2019,src/container/list,1
2019,src/crypto/x509/pkix,1
2019,src/go/build/testdata/withvendor/src/a/b,1
2019,src/go/build/testdata/withvendor/src/a/vendor/c/d,1
2019,src/hash/fnv,1
2010,misc/bash,1
2022,test/typeparam/mdempsky/8.dir,1
2009,misc/bbedit,1
2009,lib,1
2009,misc/bash,1
2008,lib,1
2008,pkg,1
2009,misc/kate,1
